Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,5,0.9374,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['lemes', 'banget', 'iya', 'mulut', 'beli', 'beli', 'obat', 'mikirr', 'drmn', 'beli', 'obat', 'kerja', 'devil']"
1,7,0.9326,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['cegah', 'mata', 'rantai', 'covid', 'number', 'mari', 'rumah', 'minggu', 'repeated', 'mata_rantai', 'mata_rantai', 'mata_rantai']"
2,3,0.9027,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['mohon', 'yaallah', 'moga', 'wabah', 'covid', 'number', 'hilang', 'ramadhan']"
3,5,0.927,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['pemprov', 'papua', 'naik', 'status', 'tanggap', 'darurat', 'covid', 'number', 'allcaps', 'opm', 'allcaps']"
4,4,0.8749,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['covid', 'nyampe', 'prigen', 'mbak', 'aduh', 'bohong']"
5,0,0.9326,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['nyuruh', 'orang', 'pintar', 'togog', 'kerumun', 'orang', 'nularin', 'covid', 'number', 'lol', 'mikir', 'repeated']"
6,6,0.8905,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['pikir', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid']"
7,0,0.9416,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['selamat', 'pagi', 'jum', 'at', 'jum', 'at', 'empat', 'pandemi', 'covid', 'number', 'moga', 'kasih', 'sehat', 'moga']"
8,1,0.7573,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['hikmah', 'musibah', 'covid', 'number', 'moga', 'jabat', 'perintah', 'sadar', 'depan', 'kaya', 'negara', 'sejahtera', 'rakyat', 'indonesia', 'kaya', 'keluarga', 'penting', 'golong', 'bela', 'penting', 'allcaps', 'wna', 'allcaps', 'jelas', 'luka', 'penting', 'rakyat']"
9,2,0.9602,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['cegah', 'covid', 'number', 'serta', 'jajar', 'polsek', 'ranji', 'aksi', 'peduli', 'bagi', 'masker', 'gratis', 'guna', 'jalan', 'giat', 'polsek', 'ranji', 'kamis', 'number', 'number', 'febriputraguci']"
10,3,0.9757,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['iya', 'allah', 'mohon', 'mu', 'kenan', 'doa', 'doa', 'rana', 'sungguh', 'engkau', 'maha', 'asih', 'maha', 'sayang', 'repeated', 'iya', 'allah', 'lindung', 'sakit', 'jangkit', 'covid', 'number', 'repeated', 'moga', 'repeated', 'moga', 'iya', 'rabbal', 'lamin', 'repeated', 'stay', 'at', 'home', 'repeated', 'rumah']"
11,3,0.927,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['sah', 'repeated', 'cegah', 'covid', 'number', 'luas', 'perintah', 'revisi', 'libur', 'cuti', 'number']"
12,1,0.9539,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['bencana', 'nasional', 'covid', 'number', 'allcaps', 'dprd', 'allcaps', 'indramayu', 'allcaps', 'bumd', 'allcaps', 'ringan', 'tagih', 'kredit', 'tagih', 'allcaps', 'pdam', 'allcaps']"
13,5,0.9562,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['cegah', 'covid', 'number', 'pemprov', 'allcaps', 'fkub', 'allcaps', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'serentak', 'allcaps', 'opm', 'allcaps', 'papua_barat', 'papua_barat', 'papua_barat']"
14,3,0.9698,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['pagi', 'repeated', 'iya', 'daerah', 'cipinang', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'prnh', 'aware', 'warga', 'bantu', 'transparansi', 'jadi', 'covid', 'jg', 'tindak', 'semprot', 'disinfektan', 'dbd', 'jg', 'fogging', 'uang', 'kas', 'jalan']"
15,2,0.9583,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['skrinews', 'pdt', 'allcaps', 'jimmy', 'allcaps', 'allcaps', 'mari', 'rang', 'virus', 'corona', 'allcaps', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'jaga', 'tanah', 'papua', 'allcaps']"
16,1,0.6931,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['number', 'suruh', 'covid', 'number', 'pergi', 'jaga', 'bersih', 'tertib', 'covid', 'number', 'didik', 'jaga', 'bersih', 'badan', 'pakai', 'barang', 'lingkung', 'rajin', 'mandi', 'cuci', 'tangan', 'sembarang', 'buang', 'sampah', 'cuci_tangan', 'cuci_tangan']"
17,6,0.9742,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['menteri', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'imbau', 'tolak', 'makam', 'jenazah', 'pasien', 'positif', 'jangkit', 'covid', 'number', 'allcaps', 'opm', 'allcaps', 'papua_barat', 'papua_barat', 'makam_jenazah', 'papua_barat', 'papua_barat', 'makam_jenazah', 'papua_barat', 'papua_barat', 'makam_jenazah']"
18,4,0.9583,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['bangun', 'tidur', 'seruput', 'kopi', 'ibuk', 'mencak', 'karuan', 'orang', 'pahlawan', 'garis', 'covid', 'number', 'tinggal', 'dunia', 'tolak', 'warga', 'tepat', 'sekolompok', 'warga', 'edukasi']"
19,4,0.927,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['mudik', 'ancam', 'sebar', 'allcaps', 'covid', 'allcaps', 'number', 'luas', 'tandatangani', 'petisi', 'via']"
20,2,0.9687,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['berita', 'tengok', 'muflis', 'allcaps', 'dungu', 'allcaps', 'kecuali', 'berita', 'allcaps', 'bohong', 'allcaps', 'kudeta', 'allcaps', 'mbs', 'allcaps', 'number', 'pangeran', 'kena', 'allcaps', 'covid', 'allcaps', 'number', 'sumber', 'kaum', 'allcaps', 'liberal', 'allcaps']"
21,2,0.9453,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'aparatur', 'desa', 'kareloe', 'rawan', 'semprot', 'disinfektan', 'cegah', 'sebar', 'virus', 'covid', 'number']"
22,2,0.9539,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['tanggung', 'jawa', 'repeated', 'anggota', 'gugus', 'tugas', 'covid', 'number', 'lurah', 'mungseng', 'tanggung', 'repeated', 'bagiin', 'posko', 'repeated', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
23,3,0.6445,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['profil', 'operasional', 'bandara', 'allcaps', 'ap', 'ii', 'allcaps', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number']"
24,6,0.9663,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['eh', 'long', 'weekend', 'mana', 'repeated', 'nya', 'sih', 'covid', 'number', 'long', 'weekend', 'repeated', 'eh', 'mah', 'serius', 'libur', 'nya', 'kasih', 'enak', 'rumah', 'ngedumel', 'bae', 'allcaps', 'dasar', 'allcaps']"
25,6,0.9416,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['hallo', 'lapor', 'giat', 'langgar', 'tentu', 'jaga', 'jarak', 'wabah', 'covid', 'number', 'mana', 'iya', 'jaga_jarak', 'jaga_jarak']"
26,2,0.9676,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['hei', 'guys', 'ngajak', 'pandemik', 'covid', 'number', 'lekas', 'hilang', 'moga', 'repeated', 'rangin', 'nongki', 'halan', 'aktivitas', 'luar', 'ruang', 'ayo', 'ajar', 'utbk', 'tau', 'sendiri', 'saing', 'lo', 'buanyak', 'banget', 'yok']"
27,6,0.927,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['allcaps', 'dusta', 'allcaps', 'kisah', 'pilu', 'dokter', 'tangan', 'pasien', 'positif', 'covid', 'number']"
28,2,0.9027,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['allcaps', 'covid', 'allcaps', 'number', 'mutasi', 'gelombang', 'virus', 'corona']"
29,2,0.9675,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['salam', 'jumaat', 'repeated', 'iya', 'allah', 'tadah', 'tangan', 'ampun', 'mu', 'serah', 'mu', 'ilah', 'kuat', 'kesihatan', 'repeated', 'jauh', 'sakit', 'jangkit', 'covid', 'number', 'hamba', 'mu', 'juang', 'sakit', 'hospital', 'repeated']"
30,6,0.927,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['khawatir', 'test', 'covid', 'number', 'tau', 'korban', 'geletak', 'mati', 'suspek', 'corona', 'ngeri']"
31,6,0.639,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['kayak', 'saking', 'fokus', 'berita', 'covid', 'kerja', 'padahal', 'tanggal', 'merah', 'yalord']"
32,7,0.8749,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['gitar', 'album', 'lagu', 'corona', 'covid', 'yudhoyono']"
33,7,0.9726,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['berat', 'mbah', 'haid', 'ndang', 'mampet', 'jual', 'online', 'payu', 'payu', 'horny', 'sing', 'lanang', 'pusing', 'covid', 'masak', 'enak', 'berkat', 'enak', 'sariawan', 'loro', 'untu', 'putih', 'murus', 'ilate', 'kecakot', 'bengese', 'anyar', 'masker', 'kerlisut', 'dst', 'repeated']"
34,2,0.9326,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['amal', 'langkah', 'langkah', 'cegah', 'tular', 'allcaps', 'covid', 'allcaps', 'number', 'amal', 'hidup', 'hari']"
